Category,Variable,Description
Instrument Info,Vocally Based,"Dummy for if the song is largely based around a vocal. This does not indicate if the song has a vocal, just if the arrangement is largely fleshed out by human voice, like ""Don't Worry Be Happy"" by Bobby McFerrin or ""Blue Moon"" by The Marcels. Please note that the vocal can be a sample (e.g., ""Slow Jamz"" by Kanye West)"
,Bass Based,"Dummy for if the song is largely based around a bass guitar or synth. This does not indicate if the song has a bass, just if the arrangement is largely fleshed out by bass."
,Guitar Based,"Dummy for if the song is largely based around a guitar. This does not indicate if the song has a guitar, just if the arrangement is largely fleshed out by guitar."
,Piano Based,"Dummy for if the song is largely based around a piano or a keyboard. This does not indicate if the song has a piano or keyboard, just if the arrangement is largely fleshed out by one of those instruments."
,Orchestral Strings,Dummy for if the song contains a string section
,Horns/Winds,Dummy for if the song contains a horn and/or wind section
,Accordion,Dummy for if the song contains an accordion
,Banjo,Dummy for if the song contains a banjo
,Bongos,Dummy for if the song contains bongos
,Clarinet,Dummy for if the song contains a clarinet
,Cowbell,Dummy for if the song contains a cowbell
,Falsetto Vocal,Dummy for if the song contains a falsetto vocal
,Flute/Piccolo,Dummy for if the song contains a flute or piccolo
,Handclaps/Snaps,Dummy for if the song contains handclaps or snaps
,Harmonica,Dummy for if the song contains a harmonica
,Human Whistling,Dummy for if the song contains human whistling
,Kazoo,Dummy for if the song contains a kazoo
,Mandolin,Dummy for if the song contains a mandolin
,Pedal/Lap Steel,Dummy for if the song contains a pedal or lap steel
,Ocarina,Dummy for if the song contains an ocarina
,Saxophone,Dummy for if the song contains a saxophone
,Sitar,Dummy for if the song contains a sitar
,Trumpet,Dummy for if the song contains a trumpet
,Ukulele,Dummy for if the song contains a ukulele
,Violin,Dummy for if the song contains a violin
,Sound Effects,"Notes if the song contains any pre-recorded sound effects and, if so, what they are."
Structural Info,Song Structure,"Captures the general structure of the song. 'A1' means only verses with no refrain. 'A2' means verses with a refrain at the beginning or end. 'A3' means a lyrical intro and then verses with a refrain at the beginning or end.  'A4' means a lyrical intro and then verses with no refrain. 'C1' means verse and chorus. 'C2' means a lyrical intro, verse, and chorus. 'C3' means verse, pre-chorus, chorus. 'C4' means verse, pre-chorus, chorus, post-chorus. 'C5' means verse, chorus, post-chorus. 'C6' means intro, verse, pre-chorus, chorus. 'C7' means intro, verse, pre-chorus, chorus, post-chorus. 'D1' means verse with a refrain at the beginning or end and a bridge. 'D3' means a lyrical intro then a verse with a refrain at the beginning or end and then a bridge. 'E1' means verse, chorus, and bridge. 'E2' means verse with a refrain at the beginning or end then a chorus and a bridge. 'E3' means a verse, pre-chorus, chorus, and bridge. 'E4' means a verse, pre-chorus, chorus, post-chorus, and bridge. 'E5' means a verse, chorus, post-chorus, and bridge.  'E6' means an Intro, Verse, Chorus, Bridge.  'E7' means verse with a refrain at the beginning or end then a pre-chorus, chorus, and bridge. 'F' means 4 or more sections. 'I' means it is an instrumental. If a structure has a 'V' at the end, it means that it is a non-rap song with a single rap verse."
,Rap Verse in a Non-Rap Song,Dummy for if the song contains at least one rapped verse despite not being a rap song
,Length (Sec),Song length in seconds
,Instrumental,"Dummy for if it is an instrumental. Note that if a song contains little to no vocals, it is still considered an instrumental (e.g., ""Harlem Shake"" by Baauer)"
,Instrumental Length (Sec),"Length of time, in seconds, that does not contain a vocalist singing lyrics"
,Intro Length (Sec),"Length of time, in seconds, before the first verse or chorus at the beginning of the song. Hooks are classified as introductions even if they repeat throughout."
,Vocal Introduction,"Dummy for if a song contains a vocal introduction, meaning a vocal section that appears at the beginning of the song and then not again."
,Free Time Vocal Introduction,"Dummy for if a song contains a free time vocal introduction, meaning a vocal section with tempo rubato that appears at the beginning of the song and then not again."
,Fade Out,Dummy for if the song fades out
,Live,Dummy for if the song is a live recording from a concert
,Cover,"Dummy for if the song is a cover, meaning the artist did not write the song and they were not the first person/group to record the song."
,Sample,"Dummy for if the song contains samples the recording of another song. This does not include interpolation/recording of parts of other songs. If a song is an English translation of a song in another language, it is still considered a cover."
,Interpolation,Dummy for if a song uses a musical or lyrical element from another existing song but re-records it themselves and is not a complete cover.
,Inspired by a Different Song,Dummy for if a song is a cover or contains sampled/interpolated elements
Lyrical Info,Lyrics,"Text of lyrics as provided by http://azlyrics.com. If http://azlyrics.com did not have the lyrics, then http://genius.com is used."
,Lyrical Topic,"Main topic of lyrics as assigned by Author. For a list of topics, see <Lyrical Topics> tab."
,Lyrical Narrative,"Dummy for if the lyrics follow a narrative, meaning a story with a loose beginning, middle, and end"
,Spoken Word,Dummy for if the song contains spoken word lyrics. Note this does not included rapped verses.
,Explicit,"Dummy for if Spotify labels the song as explicit, if the song contains expletives, or if it is overly sexual, violent, or related to drugs for the time of its release. A word is considered an expletive if it is one of the following: 'ass', 'bastard', 'bitch', 'cock', 'cunt', 'damn', 'dick', 'faggot', 'fuck', 'hell', 'piss', 'shit', 'twat', all racial epitaths, and all derivative words and phrases from this list."
,Foreign Language,Dummy for if there are any non-English lyrics.
Association with Non-Musical Media,Written for a Play,Dummy for if the song was originally written for a play
,Featured in a Then Contemporary Play,"Notes if the song was featured in a play around the time it topped the charts. If so, the play is listed. Please note that this does not mean the song was written for the play."
,Written for a Film,Dummy for if the song was originally written for a film
,Featured in a Then Contemporary Film,"Notes if the song was featured in a film around the time it topped the charts. If so, the film is listed. Please note that this does not mean the song was written for the film."
,Written for a T.V. Show,Dummy for if the song was originally written for a T.V. show
,Featured in a then Contemporary T.V. Show,"Notes if the song was featured in a T.V. show around the time it topped the charts. If so, the T.V. show is listed. Please note that this does not mean the song was written for the T.V. show."
Misc.,Associated with Dance,Dummy for if the song is known to have inspired people do a certain dance while it plays
,Topped the Charts by Multiple Artist,Dummy for if separate recordings of the song got to number one by different artists
,Double A Side,"Notes if the song were considered a double A-sided single. If so, the other side of the record is listed."
,Eurovision Entry,Dummy for if the song was entered into the annual Eurovision music competition
,U.S. Artwork,"Description of U.S. Single Artwork. ""Cannot Find"" means that the artwork could not be reliably located. All artwork before the year 2000 was located on https://discogs.com. Since digital music rose around that time, I begin consulting digital music stores and streaming services for artwork after 2000. If you would like to download the artwork, please follow this link."
,,
,Note,
,"If a variable has multiple values, they are separeted by a semi-colon",
